Satellite,Code,jd_tdb,x_km,y_km,z_km
Phobos,401,2460269.000000,-6163.087883,6193.411424,3618.714558
Phobos,401,2460276.000000,-4138.497383,8088.089389,2753.053392
Phobos,401,2460283.000000,-1721.499059,9213.570520,1631.498581
Phobos,401,2460290.000000,859.273371,9470.573473,361.167150
Phobos,401,2460297.000000,3362.331016,8835.699375,-939.010772
Phobos,401,2460304.000000,5550.942744,7363.317640,-2146.971057
Phobos,401,2460311.000000,7212.402292,5183.781582,-3146.718045
Phobos,401,2460318.000000,8176.426792,2496.472491,-3838.807727
Phobos,401,2460325.000000,8333.359673,-442.671365,-4149.908409
Phobos,401,2460332.000000,7651.094762,-3341.165028,-4042.334077
Phobos,401,2460339.000000,6185.217828,-5900.622862,-3521.451919
Phobos,401,2460346.000000,4077.991317,-7851.780194,-2637.677584
Phobos,401,2460353.000000,1545.403449,-8987.775059,-1482.727189
Phobos,401,2460360.000000,-1147.661547,-9191.998104,-178.634110
Phobos,401,2460367.000000,-3722.311806,-8452.561136,1138.006056
Phobos,401,2460374.000000,-5919.487846,-6858.737547,2333.076633
Phobos,401,2460381.000000,-7527.244607,-4585.054180,3289.640700
Phobos,401,2460388.000000,-8399.778736,-1867.257838,3918.930589
Phobos,401,2460395.000000,-8466.203481,1026.289960,4167.238228
Phobos,401,2460402.000000,-7730.815444,3820.444502,4017.087300
Phobos,401,2460409.000000,-6268.171493,6253.976840,3486.603208
Phobos,401,2460416.000000,-4215.519276,8099.083472,2627.032930
Phobos,401,2460423.000000,-1762.119844,9178.733468,1518.731200
Phobos,401,2460430.000000,863.966531,9380.955111,265.456574
Phobos,401,2460437.000000,3411.385494,8671.263749,-1012.890255
Phobos,401,2460444.000000,5626.706240,7102.361375,-2189.173964
Phobos,401,2460451.000000,7280.523294,4815.817459,-3142.164316
